,playerId,season,name,team,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,sv_pct,next_sv_pct
431,8469608,2013,Mike Smith,ARI,62,216598.0,168.52,159.0,3442.0,130.9,151.0,422.23,441.0,1859.72,1871.0,58.51,66.0,1034.48,837.0,764.82,931.0,161.59,1924.0,495.0,162.0,54.75,59.64,54.14,55.0,50.0,54.0,861.0,0.9150187065740246,0.9043478260869565
321,8471715,2013,Ondrej Pavelec,WPG,57,194878.0,157.27,163.0,3138.0,112.0,129.0,385.53,343.0,1664.79,1644.0,52.69,57.0,922.34,777.0,687.69,857.0,150.56,1732.0,427.0,160.0,48.39,52.48,56.41,46.0,55.0,62.0,819.0,0.9008515815085159,0.9201773835920177
411,8471469,2013,Pekka Rinne,NSH,24,82009.0,48.53,63.0,1221.0,43.28,27.0,146.77,171.0,639.71,645.0,19.67,24.0,364.72,288.0,267.13,318.0,46.97,704.0,147.0,40.0,18.96,17.31,12.26,22.0,28.0,13.0,330.0,0.9023255813953488,0.9225235196458218
256,8469548,2013,Ray Emery,PHI,28,83905.0,66.79,69.0,1307.0,49.5,42.0,161.68,162.0,721.09,711.0,20.68,26.0,400.29,328.0,297.48,377.0,64.8,746.0,191.0,62.0,23.64,22.62,20.54,23.0,25.0,21.0,308.0,0.9029535864978903,0.8944591029023746
66,8466141,2013,Roberto Luongo,FLA,56,193340.0,130.67,129.0,2947.0,107.57,107.0,361.39,426.0,1558.76,1590.0,54.05,53.0,889.3,691.0,649.77,771.0,126.53,1711.0,369.0,111.0,47.23,45.29,38.15,37.0,47.0,45.0,756.0,0.9188679245283019,0.9208261617900172
51,8475215,2013,Robin Lehner,OTT,36,115330.0,91.66,99.0,1900.0,74.9,83.0,250.93,238.0,1085.68,1141.0,32.96,33.0,607.09,486.0,452.96,569.0,88.57,1145.0,297.0,71.0,33.54,37.14,20.98,30.0,50.0,19.0,387.0,0.9132340052585451,0.9050064184852374
276,8468011,2013,Ryan Miller,STL,59,210017.0,150.24,154.0,3385.0,125.66,112.0,418.89,452.0,1840.72,1885.0,50.19,51.0,1046.25,813.0,776.83,960.0,144.76,2027.0,425.0,126.0,56.89,50.7,42.65,50.0,58.0,46.0,807.0,0.9183023872679045,0.9107589658048374
161,8473575,2013,Semyon Varlamov,COL,63,217186.0,172.67,146.0,3660.0,141.52,154.0,452.74,471.0,1982.24,2013.0,54.66,55.0,1117.55,892.0,814.67,1039.0,165.63,2124.0,470.0,169.0,59.65,56.04,56.98,41.0,46.0,59.0,897.0,0.927471435668157,0.9212730318257957
176,8475683,2013,Sergei Bobrovsky,CBJ,58,197966.0,124.79,131.0,2957.0,109.2,104.0,369.07,324.0,1600.59,1699.0,51.09,61.0,919.88,832.0,664.85,795.0,120.53,1780.0,361.0,99.0,47.46,43.34,33.99,51.0,42.0,38.0,717.0,0.9228958210712184,0.9178921568627451
226,8473461,2013,Steve Mason,PHI,61,209136.0,142.19,145.0,3235.0,112.34,123.0,405.02,399.0,1710.91,1751.0,58.66,49.0,945.14,753.0,704.42,886.0,137.42,1857.0,377.0,131.0,53.1,44.6,44.49,50.0,50.0,45.0,870.0,0.9171901770416905,0.9275167785234899
71,8471306,2013,Thomas Greiss,ARI,25,77540.0,53.04,50.0,1119.0,41.75,58.0,141.89,145.0,621.11,626.0,20.72,20.0,344.82,248.0,266.25,354.0,51.43,656.0,170.0,42.0,19.3,20.3,13.44,25.0,14.0,11.0,251.0,0.9201277955271565,0.9084249084249084
296,8471695,2013,Tuukka Rask,BOS,58,203187.0,125.08,115.0,2906.0,105.34,96.0,375.77,423.0,1605.78,1641.0,56.09,60.0,885.74,639.0,670.72,889.0,122.17,1739.0,381.0,95.0,47.09,46.17,31.82,46.0,29.0,40.0,691.0,0.9299207800121877,0.9224266534062655
416,8471219,2014,Al Montoya,FLA,20,57416.0,42.34,49.0,843.0,31.49,37.0,104.6,103.0,463.41,453.0,15.67,14.0,261.31,199.0,195.82,250.0,40.59,487.0,122.0,43.0,14.46,14.94,12.94,21.0,14.0,14.0,191.0,0.891832229580574,0.9194078947368421
431,8477202,2014,Andrew Hammond,OTT,24,84659.0,55.95,42.0,1288.0,45.85,52.0,161.91,176.0,691.11,707.0,24.11,25.0,392.43,335.0,289.13,341.0,53.88,748.0,169.0,51.0,19.97,20.01,15.97,16.0,14.0,12.0,320.0,0.9405940594059405,0.9143258426966292
226,8474550,2014,Antti Niemi,S.J,61,214074.0,165.46,155.0,3486.0,126.98,137.0,421.91,463.0,1839.79,1811.0,64.3,84.0,1014.02,811.0,767.82,936.0,157.53,1927.0,463.0,166.0,54.42,56.65,54.37,46.0,60.0,49.0,930.0,0.9144119271120927,0.9052969502407705
211,8471750,2014,Ben Bishop,T.B,62,209940.0,150.3,136.0,3074.0,115.88,119.0,360.62,406.0,1626.25,1620.0,55.71,51.0,921.69,784.0,665.9,793.0,142.59,1672.0,451.0,144.0,48.72,53.37,48.21,34.0,55.0,47.0,807.0,0.9160493827160494,0.9264793783622236
41,8474651,2014,Braden Holtby,WSH,73,253649.0,175.45,157.0,3930.0,142.49,123.0,463.09,537.0,2050.99,2044.0,66.49,80.0,1148.02,932.0,856.26,1045.0,168.75,2152.0,539.0,160.0,60.6,64.46,50.39,64.0,39.0,54.0,1079.0,0.9231898238747553,0.9217970049916805
426,8470880,2014,Brian Elliott,STL,46,152748.0,95.61,96.0,2208.0,77.0,68.0,274.19,321.0,1168.45,1150.0,40.69,56.0,645.79,483.0,485.42,597.0,91.03,1260.0,273.0,83.0,34.51,32.49,28.62,34.0,32.0,30.0,592.0,0.9165217391304348,0.9299820466786355
